no_curso	no_grau	no_turno	no_campus	sg_uf_campus	no_municipio_campus	no_ies	sg_ies	co_concorrencia	tp_mod_concorrencia	no_concorrencia	qt_vagas	qt_vagas_concorrencia	nu_nota_corte
ADMINISTRAÇÃO	Bacharelado	Noturno	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	12	12	776.74
ARQUITETURA E URBANISMO	Bacharelado	Vespertino	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	12	12	802.85
ARTES VISUAIS	Licenciatura	Noturno	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	12	12	706.92
CIÊNCIA DA COMPUTAÇÃO	Bacharelado	Noturno	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	12	12	798.34
CIÊNCIAS AMBIENTAIS	Bacharelado	Vespertino	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	12	12	737.86
CIÊNCIAS BIOLÓGICAS	Licenciatura	Integral	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	6	6	748.46
CIÊNCIAS BIOLÓGICAS	Bacharelado	Integral	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	6	6	773.23
CIÊNCIAS SOCIAIS	Bacharelado	Vespertino	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	7	7	748.32
DIREITO	Bacharelado	Noturno	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	12	12	835.39
EDUCAÇÃO FÍSICA	Licenciatura	Matutino	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	12	12	736.51
ENFERMAGEM	Bacharelado	Integral	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	12	12	804.24
ENGENHARIA CIVIL	Bacharelado	Noturno	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	12	12	821.11
ENGENHARIA ELÉTRICA	Bacharelado	Vespertino	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	12	12	789.96
FARMÁCIA	Bacharelado	Integral	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	12	12	789.79
FÍSICA	Licenciatura	Vespertino	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	12	12	736.42
